station,line,towards,countdown,time
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 31, 41, 51, 61]",1638525866.5016813
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 10, 13, 15, 25, 33, 40, 48, 55, 63]",1638525866.5016813
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 9, 17, 23, 31, 38, 46, 53, 61, 68, 68]",1638525866.5016813
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 13, 23, 33, 43, 53, 63]",1638525866.5016813
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 24, 36, 46, 56, 66]",1638525866.5016813
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525866.5016813
Längenfeldgasse,U4,HÜTTELDORF,"[3, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525866.5016813
Längenfeldgasse,U6,FLORIDSDORF,"[3, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525866.5016813
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525866.5016813
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 13, 21, 29, 35, 43, 50, 57, 65]",1638525866.5016813
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 12, 20, 27, 35, 42, 50, 57, 65]",1638525866.5016813
Längenfeldgasse U,12A,Eichenstraße,"[5, 14, 24, 34, 44, 54, 64]",1638525876.939911
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 30, 40, 50, 60]",1638525876.939911
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 10, 12, 14, 25, 32, 40, 47, 55, 62]",1638525876.939911
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 9, 16, 22, 30, 38, 45, 53, 60, 67, 68]",1638525876.939911
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638525876.939911
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 24, 35, 45, 55, 65]",1638525876.939911
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525876.939911
Längenfeldgasse,U4,HÜTTELDORF,"[2, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525876.939911
Längenfeldgasse,U6,FLORIDSDORF,"[3, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525876.939911
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525876.939911
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 21, 29, 35, 43, 50, 57, 65]",1638525876.939911
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 12, 20, 27, 35, 42, 50, 57, 65]",1638525876.939911
Längenfeldgasse U,12A,Eichenstraße,"[5, 14, 24, 34, 44, 54, 64]",1638525887.3128436
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 30, 40, 50, 60]",1638525887.3128436
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 10, 13, 14, 25, 32, 40, 47, 55, 62]",1638525887.3128436
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 9, 16, 22, 30, 38, 45, 53, 60, 67, 68]",1638525887.3128436
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638525887.3128436
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 24, 35, 45, 55, 65]",1638525887.3128436
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525887.3128436
Längenfeldgasse,U4,HÜTTELDORF,"[2, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525887.3128436
Längenfeldgasse,U6,FLORIDSDORF,"[2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525887.3128436
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525887.3128436
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 29, 35, 42, 50, 57, 65]",1638525887.3128436
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 12, 20, 27, 35, 42, 50, 57, 65]",1638525887.3128436
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 24, 34, 44, 54, 64]",1638525897.7782385
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 11, 21, 30, 40, 50, 60]",1638525897.7782385
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[3, 10, 13, 14, 25, 32, 40, 47, 55, 62]",1638525897.7782385
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 9, 16, 22, 30, 38, 45, 53, 60, 67, 68]",1638525897.7782385
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638525897.7782385
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 24, 35, 45, 55, 65]",1638525897.7782385
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525897.7782385
Längenfeldgasse,U4,HÜTTELDORF,"[2, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638525897.7782385
Längenfeldgasse,U6,FLORIDSDORF,"[2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525897.7782385
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638525897.7782385
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 29, 35, 42, 50, 57, 65]",1638525897.7782385
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 11, 20, 27, 35, 42, 50, 57, 65]",1638525897.7782385
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638525908.0842454
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 10, 21, 30, 40, 50, 60]",1638525908.0842454
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[3, 9, 13, 14, 24, 32, 39, 47, 54, 62, 69]",1638525908.0842454
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 9, 16, 22, 30, 37, 45, 52, 60, 67, 67]",1638525908.0842454
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638525908.0842454
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[4, 15, 24, 35, 45, 55, 65]",1638525908.0842454
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525908.0842454
Längenfeldgasse,U4,HÜTTELDORF,"[2, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525908.0842454
Längenfeldgasse,U6,FLORIDSDORF,"[2, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525908.0842454
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525908.0842454
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 29, 34, 42, 49, 56, 64]",1638525908.0842454
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 11, 19, 26, 34, 41, 49, 56, 64]",1638525908.0842454
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638525918.5830255
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 10, 20, 30, 40, 50, 60]",1638525918.5830255
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[3, 9, 13, 14, 24, 32, 39, 47, 54, 62, 69]",1638525918.5830255
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 8, 16, 22, 30, 37, 45, 52, 60, 67, 67]",1638525918.5830255
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[2, 12, 22, 32, 42, 52, 62]",1638525918.5830255
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 15, 24, 35, 45, 55, 65]",1638525918.5830255
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525918.5830255
Längenfeldgasse,U4,HÜTTELDORF,"[1, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525918.5830255
Längenfeldgasse,U6,FLORIDSDORF,"[2, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525918.5830255
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525918.5830255
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 11, 20, 28, 34, 42, 49, 56, 64]",1638525918.5830255
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[4, 11, 19, 26, 34, 41, 49, 56, 64]",1638525918.5830255
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638525929.0213194
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[0, 10, 20, 30, 40, 50, 60]",1638525929.0213194
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[3, 9, 13, 14, 24, 32, 39, 47, 54, 62, 69]",1638525929.0213194
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 8, 16, 22, 30, 37, 45, 52, 60, 67, 67]",1638525929.0213194
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 12, 22, 32, 42, 52, 62]",1638525929.0213194
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 35, 45, 55, 65]",1638525929.0213194
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525929.0213194
Längenfeldgasse,U4,HÜTTELDORF,"[1, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525929.0213194
Längenfeldgasse,U6,FLORIDSDORF,"[2, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525929.0213194
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 3, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525929.0213194
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 20, 28, 34, 42, 49, 56, 64]",1638525929.0213194
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[4, 11, 19, 26, 34, 41, 49, 56, 64]",1638525929.0213194
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 23, 33, 43, 53, 63]",1638525939.3913078
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[10, 20, 29, 39, 49, 59, 69]",1638525939.3913078
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[2, 9, 12, 13, 24, 31, 39, 46, 54, 61, 69]",1638525939.3913078
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 21, 29, 37, 44, 52, 59, 66, 67]",1638525939.3913078
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61]",1638525939.3913078
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 34, 44, 54, 64]",1638525939.3913078
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525939.3913078
Längenfeldgasse,U4,HÜTTELDORF,"[1, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525939.3913078
Längenfeldgasse,U6,FLORIDSDORF,"[1, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525939.3913078
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525939.3913078
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 20, 28, 34, 41, 49, 56, 64]",1638525939.3913078
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[4, 11, 19, 26, 34, 41, 49, 56, 64]",1638525939.3913078
Längenfeldgasse U,12A,Eichenstraße,"[3, 13, 23, 33, 43, 53, 63]",1638525949.775067
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[10, 20, 29, 39, 49, 59, 69]",1638525949.775067
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[2, 9, 9, 12, 24, 31, 39, 46, 54, 61, 69]",1638525949.775067
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 21, 29, 37, 44, 52, 59, 66, 67]",1638525949.775067
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61]",1638525949.775067
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 34, 44, 54, 64]",1638525949.775067
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525949.775067
Längenfeldgasse,U4,HÜTTELDORF,"[1, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525949.775067
Längenfeldgasse,U6,FLORIDSDORF,"[1, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525949.775067
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525949.775067
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 28, 34, 41, 49, 56, 64]",1638525949.775067
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[4, 11, 19, 26, 34, 41, 49, 56, 64]",1638525949.775067
Längenfeldgasse U,12A,Eichenstraße,"[3, 13, 23, 33, 43, 53, 63]",1638525960.1690958
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[10, 20, 29, 39, 49, 59, 69]",1638525960.1690958
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[2, 9, 9, 12, 24, 31, 39, 46, 54, 61, 69]",1638525960.1690958
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 21, 29, 37, 44, 52, 59, 66, 67]",1638525960.1690958
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61]",1638525960.1690958
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 34, 44, 54, 64]",1638525960.1690958
Längenfeldgasse,U4,HEILIGENSTADT,"[4, 9, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525960.1690958
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638525960.1690958
Längenfeldgasse,U6,FLORIDSDORF,"[1, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525960.1690958
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638525960.1690958
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 28, 34, 41, 49, 56, 64]",1638525960.1690958
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[3, 10, 19, 26, 34, 41, 49, 56, 64]",1638525960.1690958
Längenfeldgasse U,12A,Eichenstraße,"[3, 13, 22, 32, 42, 52, 62]",1638525970.5146868
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[10, 19, 29, 39, 49, 59, 69]",1638525970.5146868
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[2, 8, 9, 12, 23, 31, 38, 46, 53, 61, 68]",1638525970.5146868
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 21, 29, 36, 44, 51, 59, 66, 66]",1638525970.5146868
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 11, 21, 31, 41, 51, 61]",1638525970.5146868
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 34, 44, 54, 64]",1638525970.5146868
Längenfeldgasse,U4,HEILIGENSTADT,"[4, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525970.5146868
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525970.5146868
Längenfeldgasse,U6,FLORIDSDORF,"[1, 4, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525970.5146868
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 5, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525970.5146868
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 28, 33, 41, 48, 55, 63]",1638525970.5146868
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[3, 10, 18, 25, 33, 40, 48, 55, 63]",1638525970.5146868
Längenfeldgasse U,12A,Eichenstraße,"[3, 12, 22, 32, 42, 52, 62]",1638525980.8949332
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[10, 19, 29, 39, 49, 59, 69]",1638525980.8949332
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[2, 8, 8, 12, 23, 31, 38, 46, 53, 61, 68]",1638525980.8949332
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[7, 15, 20, 29, 36, 44, 51, 59, 66, 66]",1638525980.8949332
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 11, 21, 31, 41, 51, 61]",1638525980.8949332
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 14, 23, 34, 44, 54, 64]",1638525980.8949332
Längenfeldgasse,U4,HEILIGENSTADT,"[4, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525980.8949332
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525980.8949332
Längenfeldgasse,U6,FLORIDSDORF,"[0, 3, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525980.8949332
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 5, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525980.8949332
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 27, 33, 41, 48, 55, 63]",1638525980.8949332
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[3, 12, 18, 25, 33, 40, 48, 55, 63]",1638525980.8949332
Längenfeldgasse U,12A,Eichenstraße,"[3, 13, 22, 32, 42, 52, 62]",1638525991.263177
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[10, 19, 28, 38, 48, 58, 68]",1638525991.263177
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[2, 8, 8, 12, 23, 30, 38, 45, 53, 60, 68]",1638525991.263177
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[7, 14, 20, 28, 36, 43, 51, 58, 65, 66]",1638525991.263177
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60]",1638525991.263177
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 13, 22, 33, 43, 53, 63]",1638525991.263177
Längenfeldgasse,U4,HEILIGENSTADT,"[4, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525991.263177
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638525991.263177
Längenfeldgasse,U6,FLORIDSDORF,"[0, 3, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525991.263177
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525991.263177
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 27, 33, 41, 48, 55, 63]",1638525991.263177
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[3, 12, 18, 25, 33, 40, 48, 55, 63]",1638525991.263177
Längenfeldgasse U,12A,Eichenstraße,"[2, 13, 22, 32, 42, 52, 62]",1638526001.631533
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[9, 19, 28, 38, 48, 58, 68]",1638526001.631533
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[1, 8, 8, 11, 23, 30, 38, 45, 53, 60, 68]",1638526001.631533
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 28, 36, 43, 51, 58, 65, 66]",1638526001.631533
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60]",1638526001.631533
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 14, 23, 33, 43, 53, 63]",1638526001.631533
Längenfeldgasse,U4,HEILIGENSTADT,"[4, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526001.631533
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526001.631533
Längenfeldgasse,U6,FLORIDSDORF,"[0, 3, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526001.631533
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526001.631533
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 10, 19, 27, 33, 41, 48, 55, 63]",1638526001.631533
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[3, 12, 18, 25, 33, 40, 48, 55, 63]",1638526001.631533
Längenfeldgasse U,12A,Eichenstraße,"[2, 12, 22, 32, 42, 52, 62]",1638526012.0087526
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[9, 19, 28, 38, 48, 58, 68]",1638526012.0087526
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[1, 8, 8, 11, 23, 30, 38, 45, 53, 60, 68]",1638526012.0087526
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 28, 36, 43, 51, 58, 65, 66]",1638526012.0087526
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60]",1638526012.0087526
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 13, 23, 33, 43, 53, 63]",1638526012.0087526
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526012.0087526
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526012.0087526
Längenfeldgasse,U6,FLORIDSDORF,"[0, 3, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526012.0087526
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526012.0087526
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 10, 18, 27, 33, 40, 48, 55, 63]",1638526012.0087526
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[3, 11, 18, 25, 33, 40, 48, 55, 63]",1638526012.0087526
Längenfeldgasse U,12A,Eichenstraße,"[2, 12, 21, 31, 41, 51, 61]",1638526022.4213388
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[9, 19, 28, 38, 48, 58, 68]",1638526022.4213388
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[1, 7, 8, 11, 22, 30, 37, 45, 52, 60, 67]",1638526022.4213388
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[5, 14, 20, 28, 35, 43, 50, 58, 65, 65]",1638526022.4213388
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60]",1638526022.4213388
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 13, 22, 33, 43, 53, 63]",1638526022.4213388
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638526022.4213388
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638526022.4213388
Längenfeldgasse,U6,FLORIDSDORF,"[2, 6, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526022.4213388
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 6, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526022.4213388
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 10, 18, 27, 32, 40, 47, 54, 62]",1638526022.4213388
